,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,Bahir Dar,11.59,37.39,63.1,81,28,3.2,ET,1599972658
143,Ponta do Sol,32.67,-17.1,68.0,77,20,4.34,PT,1599972659
144,Pombas,17.15,-25.02,77.0,94,75,3.36,CV,1599972661
145,San Patricio,19.22,-104.7,78.82,83,13,2.64,MX,1599972662
146,Norrtälje,59.76,18.7,53.01,77,0,11.99,SE,1599972663
147,Smolenka,52.14,113.5,51.8,93,75,6.71,RU,1599972664
148,Beloha,-25.17,45.05,73.54,65,0,18.14,MG,1599972665
149,Erbil,36.19,44.01,78.8,21,0,1.12,IQ,1599972496
150,Kabinda,-6.13,24.48,72.18,54,1,2.48,CD,1599972668
151,Maningrida,-12.07,134.27,86.58,44,45,14.41,AU,1599972669
152,Jacareacanga,-6.22,-57.75,76.91,56,34,1.32,BR,1599972670
153,Katsuura,35.13,140.3,84.0,83,75,4.7,JP,1599972672
154,Whyalla,-33.03,137.58,62.6,55,5,16.11,AU,1599972673
155,Butaritari,3.07,172.79,82.06,71,36,12.91,KI,1599972674
156,Kolondiéba,11.09,-6.89,70.84,94,44,4.09,ML,1599972675
157,Macas,-2.32,-78.12,64.96,80,18,2.64,EC,1599972676
158,Laguna,38.42,-121.42,73.0,60,90,5.86,US,1599972678
159,Takhli,15.26,100.34,93.99,66,100,1.99,TH,1599972679
160,Correntina,-13.34,-44.64,66.63,56,0,6.64,BR,1599972680
161,Shingū,33.73,135.98,82.4,74,75,4.7,JP,1599972681
162,Upernavik,72.79,-56.15,30.51,92,99,10.04,GL,1599972683
163,Skuteč,49.84,16.0,63.0,100,32,2.24,CZ,1599972684
164,Cherskiy,68.75,161.3,52.79,52,0,7.16,RU,1599972685
165,Ndendé,-2.4,11.36,71.71,89,67,1.77,GA,1599972686
166,Faanui,-16.48,-151.75,78.71,77,86,10.65,PF,1599972687
167,Lebu,-37.62,-73.65,45.84,79,18,8.19,CL,1599972689
168,Opuwo,-18.06,13.84,53.62,47,0,3.71,NA,1599972690
169,Daru,-9.08,143.21,77.11,77,90,14.29,PG,1599972691
170,Hofn,64.25,-15.21,43.54,63,0,12.37,IS,1599972692
171,Walvis Bay,-22.96,14.51,57.0,87,90,4.7,NA,1599972694
172,Portland,45.52,-122.68,59.0,77,90,2.44,US,1599972602
173,Chui,-33.7,-53.46,50.9,91,2,3.74,UY,1599972696
174,Adrar,20.5,-10.07,86.43,44,32,8.75,MR,1599972697
175,Palmas,-10.21,-48.36,80.6,30,0,9.17,BR,1599972698
176,Klaksvík,62.23,-6.59,44.6,81,82,10.29,FO,1599972700
177,Maceió,-9.67,-35.74,69.8,88,75,3.36,BR,1599972637
178,Rechka Vydrino,51.48,104.85,45.23,86,100,11.45,RU,1599972702
179,Esperance,-33.87,121.9,66.2,59,75,5.82,AU,1599972703
180,Bengkulu,-3.8,102.27,84.42,69,59,11.39,ID,1599972704
181,Gladstone,-23.85,151.25,77.0,53,18,16.11,AU,1599972705
182,Saint-Joseph,-21.37,55.62,75.2,69,20,14.99,RE,1599972707
183,Dersca,47.98,26.2,63.0,72,18,8.05,RO,1599972708
184,Talara,-4.58,-81.27,63.99,82,35,15.39,PE,1599972709
185,Ossora,59.24,163.07,44.22,84,100,22.59,RU,1599972710
186,Hanstholm,57.12,8.62,55.99,80,100,10.0,DK,1599972711
187,Arraial do Cabo,-22.97,-42.03,72.03,85,4,28.81,BR,1599972431
188,Mar del Plata,-38.0,-57.56,46.99,81,0,18.34,AR,1599972621
189,São João da Barra,-21.64,-41.05,72.36,84,0,22.5,BR,1599972715
190,Phan Thiet,10.93,108.1,88.5,63,75,8.23,VN,1599972716
191,Sørland,67.67,12.69,49.3,82,68,26.96,NO,1599972717
192,Moyale,3.52,39.06,65.19,81,86,13.96,KE,1599972719
193,Muros,42.78,-9.06,72.0,64,52,5.82,ES,1599972720
194,Calabozo,8.92,-67.43,74.64,95,96,1.83,VE,1599972721
195,Gryfice,53.92,15.2,55.0,93,98,3.36,PL,1599972722
196,Meulaboh,4.14,96.13,85.53,62,40,5.59,ID,1599972724
197,Awjilah,29.11,21.29,77.31,45,0,7.56,LY,1599972725
198,Pravia,43.49,-6.15,64.4,93,20,2.24,ES,1599972726
199,Staraya Russa,57.99,31.36,56.75,86,100,11.12,RU,1599972727
200,Motygino,58.18,94.76,61.63,51,40,3.8,RU,1599972728
201,Saint Anthony,45.02,-93.22,59.0,87,90,5.82,US,1599972730
202,Progreso,21.28,-89.67,79.09,85,85,3.06,MX,1599972731
203,Kamaishi,39.27,141.88,77.0,61,75,12.75,JP,1599972732
204,Kutum,14.2,24.67,74.5,67,79,3.85,SD,1599972733
205,San Cristobal,7.77,-72.22,66.7,90,93,3.04,VE,1599972734
206,Ilo,-17.64,-71.34,58.3,80,39,3.58,PE,1599972736
207,Iwanai,42.97,140.51,68.34,72,91,5.03,JP,1599972737
208,Homocea,46.13,27.23,60.01,87,0,2.24,RO,1599972738
209,Lolodorf,3.23,10.73,68.31,97,96,1.23,CM,1599972739
210,Kaitangata,-46.28,169.85,51.01,88,100,4.0,NZ,1599972740
211,Huarmey,-10.07,-78.15,59.67,86,1,7.11,PE,1599972742
212,Gamba,-2.65,10.0,73.71,87,67,6.33,GA,1599972743
213,Mackay,-21.15,149.2,77.0,65,60,19.46,AU,1599972744
214,Chokurdakh,70.63,147.92,59.02,42,0,4.14,RU,1599972745
215,Half Moon Bay,37.46,-122.43,66.99,93,90,4.7,US,1599972671
216,Sola,-13.88,167.55,79.56,83,96,19.24,VU,1599972748
217,Solwezi,-12.17,26.39,56.71,61,19,6.87,ZM,1599972749
218,Oruzgan,32.83,66.0,75.87,16,0,0.96,AF,1599972750
219,Westport,41.14,-73.36,64.99,72,75,10.29,US,1599972752
220,Barra do Garças,-15.89,-52.26,70.74,24,0,3.53,BR,1599972753
221,Hammerfest,70.66,23.68,46.4,87,75,4.7,NO,1599972623
222,Tuatapere,-46.13,167.68,48.0,97,100,1.99,NZ,1599972755
223,Puerto del Rosario,28.5,-13.86,71.6,88,40,3.36,ES,1599972757
224,Bredasdorp,-34.53,20.04,55.4,82,97,23.04,ZA,1599972758
225,Saskylakh,71.92,114.08,53.69,54,53,5.46,RU,1599972759
226,Zhangye,38.93,100.45,69.35,24,45,7.23,CN,1599972760
227,Vostok,46.49,135.88,64.49,37,100,8.12,RU,1599972762
228,Mariental,-24.63,17.97,59.97,34,54,5.79,NA,1599972763
229,Matelica,43.25,13.01,66.99,76,0,1.14,IT,1599972764
230,Haines Junction,60.75,-137.51,39.65,71,76,3.22,CA,1599972765
231,Afipskiy,44.9,38.84,70.0,69,0,10.16,RU,1599972767
232,Comodoro Rivadavia,-45.87,-67.5,46.4,61,30,23.04,AR,1599972768
233,Thinadhoo,0.53,72.93,82.92,72,100,8.23,MV,1599972769
234,Kieta,-6.22,155.63,84.88,68,5,5.75,PG,1599972770
235,Mount Gambier,-37.83,140.77,59.0,62,75,17.22,AU,1599972620
236,Kavieng,-2.57,150.8,84.27,75,58,12.91,PG,1599972755
237,Muswellbrook,-32.27,150.9,71.58,47,94,6.91,AU,1599972774
238,Dvinskoy Bereznik,62.86,42.71,50.47,94,100,11.99,RU,1599972775
239,Saldanha,-33.01,17.94,57.2,76,59,8.05,ZA,1599972776
240,Morant Bay,17.88,-76.41,82.4,78,20,4.7,JM,1599972778
241,Marrakesh,31.63,-8.01,71.6,73,100,6.93,MA,1599972779
242,Camiri,-20.05,-63.52,72.03,51,99,2.39,BO,1599972780
243,Deputatsky,69.3,139.9,53.01,49,100,2.68,RU,1599972781
244,Moindou,-21.69,165.68,78.8,47,39,13.87,NC,1599972783
245,Narsaq,60.92,-46.05,33.8,50,58,5.82,GL,1599972784
246,Komatipoort,-25.43,31.95,62.6,82,11,6.93,ZA,1599972785
247,Tshikapa,-6.42,20.8,72.39,57,0,1.3,CD,1599972786
248,Guerrero Negro,27.98,-114.06,75.38,57,0,11.56,MX,1599972787
249,Krasyliv,49.65,26.97,60.15,62,51,3.24,UA,1599972789
250,Chute-aux-Outardes,49.12,-68.4,48.2,93,75,2.24,CA,1599972790
251,Fengrun,39.83,118.12,81.82,40,43,1.95,CN,1599972791
252,Vaini,-21.2,-175.2,69.8,77,75,17.22,TO,1599972792
253,Geraldton,-28.77,114.6,78.8,31,0,13.87,AU,1599972793
254,Rovaniemi,66.5,25.72,41.0,100,20,4.7,FI,1599972795
255,Kenda,23.2,86.53,87.8,66,75,4.7,IN,1599972796
256,Hambantota,6.12,81.12,84.2,79,40,13.87,LK,1599972797
257,Baculin,7.45,126.58,86.97,66,94,7.18,PH,1599972798
258,Bilibino,68.05,166.44,51.13,46,34,3.8,RU,1599972800
259,Raudeberg,61.99,5.14,51.01,87,99,29.51,NO,1599972801
260,Bambous Virieux,-20.34,57.76,73.0,83,75,6.93,MU,1599972802
261,Teruel,40.67,-0.67,64.99,82,0,6.93,ES,1599972803
262,Mogadishu,2.04,45.34,78.8,69,75,13.87,SO,1599972746
263,Tutóia,-2.76,-42.27,78.82,82,50,11.97,BR,1599972805
264,Imeni Poliny Osipenko,52.42,136.49,71.02,61,0,5.86,RU,1599972807
265,Lázaro Cárdenas,17.96,-102.2,79.16,86,99,2.91,MX,1599972808
266,Kainantu,-6.29,145.87,70.63,82,65,3.11,PG,1599972809
267,Rucheng,32.39,120.56,84.99,54,100,4.18,CN,1599972810
268,Barabai,-2.58,115.38,90.07,56,76,0.96,ID,1599972776
269,Hamilton,39.18,-84.53,75.99,88,75,10.29,US,1599972764
270,Nanortalik,60.14,-45.24,37.9,74,49,1.86,GL,1599972814
271,Saint George,37.1,-113.58,78.8,9,1,4.7,US,1599972645
272,Port-Gentil,-0.72,8.78,76.5,83,100,14.45,GA,1599972817
273,Kalmunai,7.42,81.82,87.44,57,100,0.98,LK,1599972811
274,Ancud,-41.87,-73.82,43.0,96,72,15.01,CL,1599972819
275,Yasugichō,35.43,133.25,73.4,78,75,8.05,JP,1599972820
276,Kamina,-8.74,24.99,68.77,41,59,2.57,CD,1599972822
277,Santa Rosa,14.31,121.11,93.0,70,75,6.93,PH,1599972823
278,Putina,-15.47,-69.43,43.05,78,99,2.42,PE,1599972825
279,Vlasikha,53.3,83.57,59.0,38,6,8.95,RU,1599972826
280,Eureka,40.8,-124.16,54.0,100,19,4.21,US,1599972827
281,Carnarvon,-24.87,113.63,75.2,53,0,19.46,AU,1599972828
282,Petropavlovsk-Kamchatskiy,53.05,158.65,64.4,36,59,20.13,RU,1599972800
283,Havelock,34.88,-76.9,73.99,83,1,11.41,US,1599972831
284,Labuhan,-6.88,112.21,91.06,47,74,5.39,ID,1599972832
285,Pierre,44.37,-100.35,57.99,81,1,3.36,US,1599972833
286,Novikovo,51.15,37.89,55.13,47,5,5.91,RU,1599972759
287,Erzin,36.96,36.2,80.01,84,2,1.43,TR,1599972836
288,Cocobeach,1.0,9.58,77.0,88,20,9.17,GA,1599972837
289,Lompoc,34.64,-120.46,55.4,93,1,5.82,US,1599972839
290,Mbandaka,0.05,18.26,69.35,96,43,2.98,CD,1599972840
291,Lubango,-14.92,13.49,58.03,36,8,5.06,AO,1599972842
292,Willmar,45.12,-95.04,55.4,93,1,4.7,US,1599972843
293,Mountain Home,43.13,-115.69,60.8,36,1,3.36,US,1599972844
294,Husavik,66.04,-17.34,39.2,93,90,8.05,IS,1599972846
295,Nantucket,41.28,-70.1,61.0,82,1,8.05,US,1599972847
296,Port Lincoln,-34.73,135.87,59.47,63,0,13.06,AU,1599972848
297,Ostrovnoy,68.05,39.51,50.16,91,100,8.66,RU,1599972850
298,Sémbé,1.65,14.58,69.62,94,100,3.15,CG,1599972851
299,Chapais,49.78,-74.85,51.8,81,90,12.75,CA,1599972852
300,Aksay,47.26,39.87,59.0,44,0,15.66,RU,1599972853
301,Auki,-8.77,160.7,83.77,74,11,3.67,SB,1599972854
302,Airai,-8.93,125.41,75.96,37,94,6.35,TL,1599972856
303,Fallon,39.47,-118.78,75.0,15,1,9.17,US,1599972857
304,Kangaatsiaq,68.31,-53.46,32.76,89,25,11.7,GL,1599972858
305,Saint-Augustin,51.23,-58.65,44.37,66,54,6.44,CA,1599972860
306,Vao,-22.67,167.48,68.5,78,95,24.85,NC,1599972861
307,Bermeo,43.42,-2.72,62.01,93,0,4.7,ES,1599972862
308,Paamiut,61.99,-49.67,36.91,72,62,9.19,GL,1599972863
309,Prestea,5.43,-2.14,71.29,98,80,2.42,GH,1599972865
310,Kyzyl-Suu,42.34,78.0,59.97,46,0,6.29,KG,1599972866
311,Hay River,60.82,-115.8,46.4,93,90,9.17,CA,1599972867
312,La Ronge,55.1,-105.28,44.6,81,75,6.93,CA,1599972868
313,Rome,43.21,-75.46,64.4,63,90,9.17,US,1599972870
314,Paraná,-31.73,-60.52,55.0,88,0,5.75,AR,1599972653
315,Mossamedes,-15.2,12.15,62.04,87,41,8.68,AO,1599972872
316,Ust-Tsilma,65.44,52.15,48.94,79,74,8.1,RU,1599972873
317,Vila Franca do Campo,37.72,-25.43,69.8,83,20,3.36,PT,1599972874
318,Nikolskoye,59.7,30.79,55.4,76,40,17.9,RU,1599972876
319,Malbork,54.04,19.03,54.0,100,94,7.45,PL,1599972877
320,Taoudenni,22.68,-3.98,93.63,22,49,4.45,ML,1599972878
321,Dauphin,51.15,-100.05,53.6,71,75,5.82,CA,1599972880
322,Lac du Bonnet,50.25,-96.06,51.01,99,19,3.24,CA,1599972881
323,Khovd,48.01,91.64,52.03,39,0,4.32,MN,1599972882
324,Mirzāpur,25.15,82.58,89.6,66,40,2.24,IN,1599972884
325,Prachuap Khiri Khan,11.82,99.78,88.14,62,86,5.91,TH,1599972885
326,Mahajanga,-15.72,46.32,73.4,69,3,4.7,MG,1599972886
327,Keti Bandar,24.14,67.45,86.77,70,83,9.71,PK,1599972887
328,Nhulunbuy,-12.23,136.77,84.2,58,75,16.11,AU,1599972888
329,Aklavik,68.22,-135.01,32.0,96,90,3.36,CA,1599972732
330,Hualmay,-11.1,-77.61,59.11,86,14,5.64,PE,1599972891
331,Pandan,14.05,124.17,86.07,68,57,5.3,PH,1599972892
332,Karratha,-20.74,116.85,95.52,20,0,15.39,AU,1599972810
333,Pryazha,61.69,33.62,53.6,93,75,17.9,RU,1599972895
334,Ribeira Grande,38.52,-28.7,71.33,75,56,9.24,PT,1599972896
335,Lengshuitan,26.41,111.6,77.83,69,93,10.11,CN,1599972897
336,Hobyo,5.35,48.53,81.57,69,97,22.95,SO,1599972899
337,Nara,34.69,135.8,84.99,66,75,9.17,JP,1599972900
338,Senno,59.53,33.92,53.28,93,100,13.91,RU,1599972901
339,Palu,-0.89,119.87,85.28,72,97,3.8,ID,1599972879
340,La Providencia,28.72,-111.58,84.0,34,0,1.01,MX,1599972904
341,Longyearbyen,78.22,15.64,35.6,90,75,1.1,SJ,1599972905
342,Dicabisagan,17.08,122.42,87.8,65,51,5.77,PH,1599972906
343,Hālol,22.5,73.47,86.0,74,40,6.93,IN,1599972907
344,Tahe,52.33,124.73,72.91,42,23,5.21,CN,1599972908
345,Barguzin,53.62,109.62,54.84,82,99,3.44,RU,1599972910
346,Santa Marta de Tormes,40.95,-5.63,62.01,81,73,1.12,ES,1599972911
347,Clyde River,70.47,-68.59,35.6,84,90,2.24,CA,1599972854
348,Gorontalo,0.54,123.06,83.01,83,100,5.12,ID,1599972913
349,Kenora,49.82,-94.43,55.4,62,20,6.93,CA,1599972915
350,Xichang,27.9,102.26,64.36,81,99,3.47,CN,1599972916
351,Prince Rupert,54.32,-130.32,55.4,93,90,1.14,CA,1599972909
352,Yamada,39.47,141.95,65.37,90,100,14.18,JP,1599972939
353,Mayumba,-3.43,10.66,73.69,87,38,5.95,GA,1599972940
354,Isangel,-19.55,169.27,75.2,69,90,13.87,VU,1599972865
355,Wanning,18.8,110.4,88.32,64,87,6.13,CN,1599972943
356,Bagdarin,54.43,113.6,51.75,88,100,4.65,RU,1599972843
357,Kumul,42.8,93.45,73.87,17,97,7.78,CN,1599972791
358,Necochea,-38.55,-58.74,46.0,76,0,11.01,AR,1599972946
359,Ningyang,35.76,116.79,79.72,57,73,2.06,CN,1599972948
360,Bozoum,6.32,16.38,67.66,96,95,4.25,CF,1599972949
361,Zhigansk,66.77,123.37,50.4,78,99,5.59,RU,1599972950
362,Santiago del Estero,-27.8,-64.26,56.84,88,0,2.01,AR,1599972951
363,Lucapa,-8.42,20.74,66.11,39,0,3.06,AO,1599972952
364,Sisimiut,66.94,-53.67,35.15,81,18,3.69,GL,1599972785
365,Anadyr,64.75,177.48,44.6,87,40,26.84,RU,1599972955
366,Ormara,25.21,64.64,85.33,71,19,4.85,PK,1599972956
367,Fairbanks,64.84,-147.72,48.2,61,90,3.69,US,1599972931
368,Oranjemund,-28.55,16.43,58.01,84,98,8.23,NA,1599972729
369,Ilulissat,69.22,-51.1,28.4,58,0,12.75,GL,1599972959
370,Ucluelet,48.93,-125.55,55.0,89,35,1.21,CA,1599972961
371,Torres,-29.34,-49.73,63.66,97,81,10.89,BR,1599972962
372,Paratinga,-12.69,-43.18,68.7,57,0,7.38,BR,1599972963
373,Okhotsk,59.38,143.3,65.25,44,1,9.06,RU,1599972939
